id,kind,sources,official_name_zh_cn,classification,reason,game_version,steam_build
AirBoost,consumable,RewardStoreData+StoreData+DebugSpawnConsumables,,direct,,1.139672,24556151
ArmorBigBoost,consumable,StoreData+DebugSpawnConsumables,埃癸斯饰符,direct,,1.139672,24556151
ArmorBoost,consumable,RewardStoreData+StoreData+DebugSpawnConsumables,护盾饰符,direct,,1.139672,24556151
ArmorBoostStore,consumable,StoreData,碎裂之盾,direct,,1.139672,24556151
BlindBoxLoot,consumable,StoreData,神秘祝福,direct,Concrete ConsumableData; direct spawning is sufficient because native use handles ReplaceWithRandomLoot/UnwrapRandomLoot.,1.139672,24556151
BloodDrop,consumable,TraitProducedComment+PowersLogic(CreateBloodDrop)+TraitData_Ares,,exclude,Context-owned transient pickup; valid in gameplay but not exposed as a standalone Trainer target.,1.139672,24556151
Boon,alias,RewardStoreData,奥林匹斯的祝福,alias,Abstract reward selector represented by concrete Olympian loot entries.,1.139672,24556151
BoostedRandomLoot,consumable,StoreData,,special,Store wrapper that must resolve to an eligible Olympian boon and preserve the native rarity override.,1.139672,24556151
CardUpgradePointsDrop,consumable,StoreData+DebugSpawnConsumables,,direct,,1.139672,24556151
ChaosWeaponUpgrade,consumable,StoreData,命运铁砧,direct,Concrete ConsumableData; direct spawning is sufficient because native use invokes ChaosHammerUpgrade.,1.139672,24556151
CharonPointsDrop,consumable,StoreData+DebugSpawnConsumables,,direct,,1.139672,24556151
DamageSelfDrop,consumable,StoreData,迈达斯的代价,direct,,1.139672,24556151
Devotion,alias,RewardStoreData,,alias,Room-event selector/alias rather than a concrete standalone reward target.,1.139672,24556151
DreamPointsDrop,consumable,DebugSpawnConsumables+RewardLogic(DreamRun)+DreamRunLogic,,direct,,1.139672,24556151
EarthBoost,consumable,RewardStoreData+StoreData+DebugSpawnConsumables,,direct,,1.139672,24556151
ElementalBoost,consumable,RewardStoreData+StoreData+DebugSpawnConsumables,,direct,,1.139672,24556151
EmptyMaxHealthDrop,consumable,DebugSpawnConsumables+NPCData(Nemesis),半人马之魂,direct,,1.139672,24556151
EmptyMaxHealthShopItem,consumable,StoreData,半人马之魂,direct,,1.139672,24556151
EmptyMaxHealthSmallDrop,consumable,RewardStoreData+DebugSpawnConsumables+LootData(SubRoomRewards)+RoomDataN,,direct,,1.139672,24556151
ExtendedShopTrait,trait,StoreData,古老的封印,special,Native Well trait semantics require processed duration/stacking and related store-state handling; use a dedicated handler rather than plain AddTraitToHero.,1.139672,24556151
