id,state,referenced_by,target_id,display_name_zh_cn,game_version,steam_build
Boon,reference_only,StoreData/RewardStoreData,,奥林匹斯的祝福,1.139672,24556151
Devotion,reference_only,StoreData/RewardStoreData,,,1.139672,24556151
BountyStaffHeat1FBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineStaffFBoss,,1.139672,24556151
BountyDaggerHeat1GBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineDaggerGBoss,,1.139672,24556151
BountyTorchHeat1OBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineTorchOBoss,,1.139672,24556151
BountyAxeHeat1NBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineAxeNBoss,,1.139672,24556151
BountyLobHeat1HBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineLobHBoss,,1.139672,24556151
BountySuitHeat1PBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineSuitPBoss,,1.139672,24556151
BountyStaffHeat2GBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineStaffGBoss,,1.139672,24556151
BountyDaggerHeat2NBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineDaggerNBoss,,1.139672,24556151
BountyTorchHeat2HBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineTorchHBoss,,1.139672,24556151
BountyAxeHeat2OBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineAxeOBoss,,1.139672,24556151
BountyLobHeat2PBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineLobPBoss,,1.139672,24556151
BountySuitHeat2FBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineSuitFBoss,,1.139672,24556151
BountyStaffHeat4NBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineStaffNBoss,,1.139672,24556151
BountyDaggerHeat4OBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineDaggerOBoss,,1.139672,24556151
BountyTorchHeat4PBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineTorchPBoss,,1.139672,24556151
BountyAxeHeat4HBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineAxeHBoss,,1.139672,24556151
BountyLobHeat4FBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineLobFBoss,,1.139672,24556151
BountySuitHeat4GBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineSuitGBoss,,1.139672,24556151
BountyStaffHeat8OBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineStaffOBoss,,1.139672,24556151
BountyDaggerHeat8HBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineDaggerHBoss,,1.139672,24556151
BountyTorchHeat8FBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineTorchFBoss,,1.139672,24556151
BountyAxeHeat8PBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineAxePBoss,,1.139672,24556151
BountyLobHeat8GBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineLobGBoss,,1.139672,24556151
BountySuitHeat8NBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineSuitNBoss,,1.139672,24556151
BountyStaffHeat12HBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineStaffHBoss,,1.139672,24556151
BountyDaggerHeat12PBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineDaggerPBoss,,1.139672,24556151
BountyTorchHeat12GBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineTorchGBoss,,1.139672,24556151
BountyAxeHeat12FBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineAxeFBoss,,1.139672,24556151
BountyLobHeat12NBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineLobNBoss,,1.139672,24556151
BountySuitHeat12OBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineSuitOBoss,,1.139672,24556151
BountyStaffHeat16PBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineStaffPBoss,,1.139672,24556151
BountyDaggerHeat16FBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineDaggerFBoss,,1.139672,24556151
BountyTorchHeat16NBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineTorchNBoss,,1.139672,24556151
BountyAxeHeat16GBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineAxeGBoss,,1.139672,24556151
BountyLobHeat16OBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineLobOBoss,,1.139672,24556151
BountySuitHeat16HBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineSuitHBoss,,1.139672,24556151
BountyStaffHeat20IBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineStaffIBoss,,1.139672,24556151
BountyAxeHeat20IBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineAxeIBoss,,1.139672,24556151
BountyLobHeat20IBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineLobIBoss,,1.139672,24556151
BountyDaggerHeat24IBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineDaggerIBoss,,1.139672,24556151
BountyTorchHeat24IBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineTorchIBoss,,1.139672,24556151
BountySuitHeat24IBoss,reference_only,BountyData/ShrineBountyNameSwapMap,BountyShrineSuitIBoss,,1.139672,24556151
