id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
ArachneCombatF,EncounterData,EncounterData<overwrite>,EncounterData_Arachne.lua,defined,2,BaseArachneCombat,,,,1.139672,24556151
ArachneCombatG,EncounterData,EncounterData<overwrite>,EncounterData_Arachne.lua,defined,2,BaseArachneCombat,,,,1.139672,24556151
ArtemisCombatF,EncounterData,EncounterData<overwrite>,EncounterData_Artemis.lua,defined,2,BaseArtemisCombat;GeneratedF,,,,1.139672,24556151
ArtemisCombatF2,EncounterData,EncounterData<overwrite>,EncounterData_Artemis.lua,defined,2,ArtemisCombatF,,,,1.139672,24556151
ArtemisCombatG,EncounterData,EncounterData<overwrite>,EncounterData_Artemis.lua,defined,4,BaseArtemisCombat;GeneratedG,,,,1.139672,24556151
ArtemisCombatG2,EncounterData,EncounterData<overwrite>,EncounterData_Artemis.lua,defined,2,ArtemisCombatG,,,,1.139672,24556151
ArtemisCombatIntro,EncounterData,EncounterData<overwrite>,EncounterData_Artemis.lua,defined,4,ArtemisCombatF,,,,1.139672,24556151
ArtemisCombatN,EncounterData,EncounterData<overwrite>,EncounterData_Artemis.lua,defined,8,BaseArtemisCombat;GeneratedN,,,,1.139672,24556151
ArtemisCombatN2,EncounterData,EncounterData<overwrite>,EncounterData_Artemis.lua,defined,2,ArtemisCombatN,,,,1.139672,24556151
AthenaCombatIntro,EncounterData,EncounterData<overwrite>,EncounterData_Athena.lua,defined,2,AthenaCombatP,,,,1.139672,24556151
AthenaCombatP,EncounterData,EncounterData<overwrite>,EncounterData_Athena.lua,defined,3,BaseAthenaCombat;GeneratedP,,,,1.139672,24556151
AthenaCombatP02,EncounterData,EncounterData<overwrite>,EncounterData_Athena.lua,defined,2,AthenaCombatP,,,,1.139672,24556151
AutomatonBeamerIntro,EncounterData,EncounterData<overwrite>,EncounterData_Intro.lua,defined,13,BaseIntroEncounter;GeneratedP,,,,1.139672,24556151
AutomatonEnforcerIntro,EncounterData,EncounterData<overwrite>,EncounterData_Intro.lua,defined,13,BaseIntroEncounter;GeneratedP,,,,1.139672,24556151
BaseArachneCombat,EncounterData,EncounterData<overwrite>,EncounterData_Arachne.lua,defined,19,,,,,1.139672,24556151
BaseArtemisCombat,EncounterData,EncounterData<overwrite>,EncounterData_Artemis.lua,defined,27,,,,,1.139672,24556151
BaseAthenaCombat,EncounterData,EncounterData<overwrite>,EncounterData_Athena.lua,defined,30,,,,,1.139672,24556151
BaseDevotion,EncounterData,EncounterData<overwrite>,EncounterData_Devotion.lua,defined,34,,,,,1.139672,24556151
BaseHeraclesCombat,EncounterData,EncounterData<overwrite>,EncounterData_Heracles.lua,defined,29,,,,,1.139672,24556151
BaseHubReturn,EncounterData,EncounterData<overwrite>,EncounterData_Opening.lua,defined,12,,,,,1.139672,24556151
BaseIcarusCombat,EncounterData,EncounterData<overwrite>,EncounterData_Icarus.lua,defined,26,,,,,1.139672,24556151
BaseIntroEncounter,EncounterData,EncounterData,EncounterData.lua,defined,14,,,,,1.139672,24556151
BaseNemesisCombat,EncounterData,EncounterData<overwrite>,EncounterData_Nemesis.lua,defined,31,,,,,1.139672,24556151
BasePIntroEncounters,EncounterData,EncounterData<overwrite>,EncounterData_Opening.lua,defined,11,,,,,1.139672,24556151
BossChronos01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,7,BossEncounter,,,,1.139672,24556151
BossChronos02,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,3,BossChronos01,BossChronos02,挑战敌手克洛诺斯,,1.139672,24556151
BossEncounter,EncounterData,EncounterData,EncounterData.lua,defined,7,,,,,1.139672,24556151
BossEris01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,5,BossEncounter,,,,1.139672,24556151
BossEris02,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,stub,1,BossEris01,BossEris02,击败敌手纷争化身,,1.139672,24556151
BossHecate01,EncounterData,EncounterData,EncounterData.lua,defined,6,BossEncounter,BossHecate01,赫卡忒,,1.139672,24556151
BossHecate02,EncounterData,EncounterData,EncounterData.lua,stub,1,BossHecate01,BossHecate02,击败敌手赫卡忒,,1.139672,24556151
BossHecateKidnapping,EncounterData,EncounterData,EncounterData.lua,defined,5,Empty,,,,1.139672,24556151
BossHecateMissing,EncounterData,EncounterData,EncounterData.lua,defined,3,Empty,,,,1.139672,24556151
BossInfestedCerberus01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,5,BossEncounter,,,,1.139672,24556151
BossInfestedCerberus02,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,stub,1,BossInfestedCerberus01,BossInfestedCerberus02,击败敌手刻耳柏洛斯,,1.139672,24556151
BossPolyphemus01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,7,BossEncounter,BossPolyphemus01,波吕斐摩斯,,1.139672,24556151
BossPolyphemus02,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,7,BossEncounter,BossPolyphemus02,击败敌手波吕斐摩斯,,1.139672,24556151
BossPrometheus01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,7,BossEncounter,,,,1.139672,24556151
BossPrometheus02,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,4,BossPrometheus01,BossPrometheus02,击败敌手普罗米修斯,,1.139672,24556151
BossScylla01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,13,BossEncounter,BossScylla01,斯库拉,,1.139672,24556151
BossScylla02,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,13,BossEncounter,BossScylla02,击败敌手斯库拉,,1.139672,24556151
BossTyphonArm01,EncounterData,EncounterData<overwrite>,EncounterData_MiniBoss.lua,defined,9,MinibossEncounter,,,,1.139672,24556151
BossTyphonEye01,EncounterData,EncounterData<overwrite>,EncounterData_MiniBoss.lua,defined,14,MinibossEncounter,BossTyphonEye01,提丰之眼,,1.139672,24556151
BossTyphonHead01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,10,BossEncounter,,,,1.139672,24556151
BossTyphonHead02,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,6,BossTyphonHead01,BossTyphonHead02,挑战敌手提丰,,1.139672,24556151
BossTyphonTail01,EncounterData,EncounterData<overwrite>,EncounterData_MiniBoss.lua,defined,25,MinibossEncounter;GeneratedQ,BossTyphonTail01,提丰之尾,,1.139672,24556151
BossZagreus01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,11,BossEncounter,,,,1.139672,24556151
BridgeNemesisRandomEvent,EncounterData,EncounterData<overwrite>,EncounterData_Story.lua,defined,4,NemesisRandomEvent,,,,1.139672,24556151
BridgeShop,EncounterData,EncounterData<overwrite>,EncounterData_Unique.lua,defined,2,Shop,,,,1.139672,24556151
BruteIntro,EncounterData,EncounterData<overwrite>,EncounterData_Intro.lua,defined,9,BaseIntroEncounter;GeneratedQ,,,,1.139672,24556151
CapturePoint,EncounterData,EncounterData<overwrite>,EncounterData_Challenge.lua,defined,43,,,,,1.139672,24556151
CapturePointF,EncounterData,EncounterData<overwrite>,EncounterData_Challenge.lua,defined,2,CapturePoint;GeneratedF,,,,1.139672,24556151
CerberusEMSpawns01,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,4,CerberusSpawns01,,,,1.139672,24556151
CerberusEMSpawns02,EncounterData,EncounterData<overwrite>,EncounterData_Boss.lua,defined,4,CerberusSpawns01,,,,1.139672,24556151
