id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
AphroditeUpgrade,LootData,LootSetData.Aphrodite,LootData_Aphrodite.lua,defined,52,BaseLoot;BaseSoundPackage,AphroditeUpgrade,阿弗洛狄忒,,1.139672,24556151
ApolloUpgrade,LootData,LootSetData.Apollo,LootData_Apollo.lua,defined,54,BaseLoot;BaseSoundPackage,ApolloUpgrade,阿波罗,,1.139672,24556151
AresUpgrade,LootData,LootSetData.Ares,LootData_Ares.lua,defined,48,BaseLoot;BaseSoundPackage,AresUpgrade,阿瑞斯,,1.139672,24556151
BaseLoot,LootData,LootSetData.Loot,LootData.lua,debug_only,32,,,,UseLoot,1.139672,24556151
BaseSoundPackage,LootData,LootSetData.Loot,LootData.lua,debug_only,3,,,,,1.139672,24556151
DemeterUpgrade,LootData,LootSetData.Demeter,LootData_Demeter.lua,defined,52,BaseLoot;BaseSoundPackage,DemeterUpgrade,得墨忒尔,,1.139672,24556151
HephaestusUpgrade,LootData,LootSetData.Hephaestus,LootData_Hephaestus.lua,defined,50,BaseLoot;BaseSoundPackage,HephaestusUpgrade,赫菲斯托斯,,1.139672,24556151
HeraUpgrade,LootData,LootSetData.Hera,LootData_Hera.lua,defined,55,BaseLoot;BaseSoundPackage,HeraUpgrade,赫拉,,1.139672,24556151
HermesUpgrade,LootData,LootSetData.Hermes,LootData_Hermes.lua,defined,46,BaseLoot;BaseSoundPackage,HermesUpgrade,赫尔墨斯,,1.139672,24556151
HestiaUpgrade,LootData,LootSetData.Hestia,LootData_Hestia.lua,defined,55,BaseLoot;BaseSoundPackage,HestiaUpgrade,赫斯提亚,,1.139672,24556151
PoseidonUpgrade,LootData,LootSetData.Poseidon,LootData_Poseidon.lua,defined,51,BaseLoot;BaseSoundPackage,PoseidonUpgrade,波塞冬,,1.139672,24556151
SpellDrop,LootData,LootSetData.Selene,LootData_Selene.lua,defined,55,,SpellDrop,塞勒涅,OpenSpellScreen,1.139672,24556151
StackUpgrade,LootData,LootSetData.Loot,LootData.lua,debug_only,36,BaseSoundPackage;BaseLoot,StackUpgrade,力量石榴,,1.139672,24556151
StackUpgradeBig,LootData,LootSetData.Loot,LootData.lua,defined,4,StackUpgrade,StackUpgradeBig,超级力量石榴,,1.139672,24556151
StackUpgradeTriple,LootData,LootSetData.Loot,LootData.lua,defined,4,StackUpgrade,StackUpgradeTriple,究极力量石榴,,1.139672,24556151
TrialUpgrade,LootData,LootSetData.Chaos,LootData_Chaos.lua,defined,54,BaseLoot;BaseSoundPackage,TrialUpgrade,卡俄斯,,1.139672,24556151
Using,LootData,LootSetData.Apollo,LootData_Apollo.lua,stub,0,,,,,1.139672,24556151
WeaponUpgrade,LootData,LootSetData.Loot,LootData.lua,debug_only,41,BaseLoot;BaseSoundPackage,WeaponUpgrade,狄德勒斯之锤,,1.139672,24556151
ZeusUpgrade,LootData,LootSetData.Zeus,LootData_Zeus.lua,defined,52,BaseLoot;BaseSoundPackage,ZeusUpgrade,宙斯,,1.139672,24556151
AphroditeUpgrade,LootSetData,LootSetData.Aphrodite,LootData_Aphrodite.lua,defined,52,BaseLoot;BaseSoundPackage,AphroditeUpgrade,阿弗洛狄忒,,1.139672,24556151
ApolloUpgrade,LootSetData,LootSetData.Apollo,LootData_Apollo.lua,defined,54,BaseLoot;BaseSoundPackage,ApolloUpgrade,阿波罗,,1.139672,24556151
AresUpgrade,LootSetData,LootSetData.Ares,LootData_Ares.lua,defined,48,BaseLoot;BaseSoundPackage,AresUpgrade,阿瑞斯,,1.139672,24556151
BaseLoot,LootSetData,LootSetData.Loot,LootData.lua,debug_only,32,,,,UseLoot,1.139672,24556151
BaseSoundPackage,LootSetData,LootSetData.Loot,LootData.lua,debug_only,3,,,,,1.139672,24556151
DemeterUpgrade,LootSetData,LootSetData.Demeter,LootData_Demeter.lua,defined,52,BaseLoot;BaseSoundPackage,DemeterUpgrade,得墨忒尔,,1.139672,24556151
HephaestusUpgrade,LootSetData,LootSetData.Hephaestus,LootData_Hephaestus.lua,defined,50,BaseLoot;BaseSoundPackage,HephaestusUpgrade,赫菲斯托斯,,1.139672,24556151
HeraUpgrade,LootSetData,LootSetData.Hera,LootData_Hera.lua,defined,55,BaseLoot;BaseSoundPackage,HeraUpgrade,赫拉,,1.139672,24556151
HermesUpgrade,LootSetData,LootSetData.Hermes,LootData_Hermes.lua,defined,46,BaseLoot;BaseSoundPackage,HermesUpgrade,赫尔墨斯,,1.139672,24556151
HestiaUpgrade,LootSetData,LootSetData.Hestia,LootData_Hestia.lua,defined,55,BaseLoot;BaseSoundPackage,HestiaUpgrade,赫斯提亚,,1.139672,24556151
PoseidonUpgrade,LootSetData,LootSetData.Poseidon,LootData_Poseidon.lua,defined,51,BaseLoot;BaseSoundPackage,PoseidonUpgrade,波塞冬,,1.139672,24556151
SpellDrop,LootSetData,LootSetData.Selene,LootData_Selene.lua,defined,55,,SpellDrop,塞勒涅,OpenSpellScreen,1.139672,24556151
StackUpgrade,LootSetData,LootSetData.Loot,LootData.lua,debug_only,36,BaseSoundPackage;BaseLoot,StackUpgrade,力量石榴,,1.139672,24556151
StackUpgradeBig,LootSetData,LootSetData.Loot,LootData.lua,defined,4,StackUpgrade,StackUpgradeBig,超级力量石榴,,1.139672,24556151
StackUpgradeTriple,LootSetData,LootSetData.Loot,LootData.lua,defined,4,StackUpgrade,StackUpgradeTriple,究极力量石榴,,1.139672,24556151
TrialUpgrade,LootSetData,LootSetData.Chaos,LootData_Chaos.lua,defined,54,BaseLoot;BaseSoundPackage,TrialUpgrade,卡俄斯,,1.139672,24556151
Using,LootSetData,LootSetData.Apollo,LootData_Apollo.lua,stub,0,,,,,1.139672,24556151
WeaponUpgrade,LootSetData,LootSetData.Loot,LootData.lua,debug_only,41,BaseLoot;BaseSoundPackage,WeaponUpgrade,狄德勒斯之锤,,1.139672,24556151
ZeusUpgrade,LootSetData,LootSetData.Zeus,LootData_Zeus.lua,defined,52,BaseLoot;BaseSoundPackage,ZeusUpgrade,宙斯,,1.139672,24556151
