id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
AresCursePowerBonus,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
BurnRate,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
DamageShareAmount,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
DamageShareDuration,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
EchoDuration,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
ExDamageMultiplier,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
ExecuteThreshold,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
FontDamage,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
FrenzyDuration,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
FrenzyLifeStealAmount,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
LastStandHeal,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
MoonBeamCount,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
MoonBeamDamage,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
MoonBeamVulnerability,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,MoonBeamVulnerability,闪耀,,1.139672,24556151
OverheatDuration,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
PolymorphDamage,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
PolymorphDuration,AutomaticExtractProperties,AutomaticExtractProperties,UIData.lua,defined,1,,,,,1.139672,24556151
IgnoreSpawnPreferences,BaseWaveOverrideValues,BaseWaveOverrideValues,EncounterData.lua,stub,0,,,,,1.139672,24556151
RequireNearPlayerDistance,BaseWaveOverrideValues,BaseWaveOverrideValues,EncounterData.lua,stub,0,,,,,1.139672,24556151
SpawnAggroed,BaseWaveOverrideValues,BaseWaveOverrideValues,EncounterData.lua,stub,0,,,,,1.139672,24556151
BiomeStates,BiomeStateData,BiomeStateData,BiomeStateData.lua,defined,2,,,,,1.139672,24556151
DefaultBiomeState,BiomeStateData,BiomeStateData,BiomeStateData.lua,stub,0,,,,,1.139672,24556151
DefaultBiomeStateChance,BiomeStateData,BiomeStateData,BiomeStateData.lua,stub,0,,,,,1.139672,24556151
DefaultBiomeStateRequirements,BiomeStateData,BiomeStateData,BiomeStateData.lua,stub,0,,,,,1.139672,24556151
ForceGameStateRequirements,BiomeStateData,BiomeStateData,BiomeStateData.lua,stub,0,,,,,1.139672,24556151
GameStateRequirements,BiomeStateData,BiomeStateData,BiomeStateData.lua,stub,0,,,,,1.139672,24556151
NoBiomeStateChanceIncrement,BiomeStateData,BiomeStateData,BiomeStateData.lua,stub,0,,,,,1.139672,24556151
Penalty,BiomeTimeLimits,BiomeTimeLimits,ShrineData.lua,defined,2,,,,,1.139672,24556151
F,BossDifficultyShrineEncounterBiomeMap,BossDifficultyShrineEncounterBiomeMap,ShrineData.lua,stub,0,,F,F,,1.139672,24556151
G,BossDifficultyShrineEncounterBiomeMap,BossDifficultyShrineEncounterBiomeMap,ShrineData.lua,stub,0,,G,G,,1.139672,24556151
H,BossDifficultyShrineEncounterBiomeMap,BossDifficultyShrineEncounterBiomeMap,ShrineData.lua,stub,0,,H,H,,1.139672,24556151
I,BossDifficultyShrineEncounterBiomeMap,BossDifficultyShrineEncounterBiomeMap,ShrineData.lua,stub,0,,I,I,,1.139672,24556151
N,BossDifficultyShrineEncounterBiomeMap,BossDifficultyShrineEncounterBiomeMap,ShrineData.lua,stub,0,,N,N,,1.139672,24556151
O,BossDifficultyShrineEncounterBiomeMap,BossDifficultyShrineEncounterBiomeMap,ShrineData.lua,stub,0,,O,O,,1.139672,24556151
P,BossDifficultyShrineEncounterBiomeMap,BossDifficultyShrineEncounterBiomeMap,ShrineData.lua,stub,0,,P,P,,1.139672,24556151
Q,BossDifficultyShrineEncounterBiomeMap,BossDifficultyShrineEncounterBiomeMap,ShrineData.lua,stub,0,,Q,Q,,1.139672,24556151
Chronos,BossDifficultyShrineEncounterMap,BossDifficultyShrineEncounterMap,ShrineData.lua,defined,2,,Chronos,克洛诺斯,,1.139672,24556151
Eris,BossDifficultyShrineEncounterMap,BossDifficultyShrineEncounterMap,ShrineData.lua,defined,2,,Eris,厄里斯,,1.139672,24556151
Hecate,BossDifficultyShrineEncounterMap,BossDifficultyShrineEncounterMap,ShrineData.lua,defined,2,,Hecate,赫卡忒,,1.139672,24556151
InfestedCerberus,BossDifficultyShrineEncounterMap,BossDifficultyShrineEncounterMap,ShrineData.lua,defined,2,,InfestedCerberus,渊狱魔兽,,1.139672,24556151
Polyphemus,BossDifficultyShrineEncounterMap,BossDifficultyShrineEncounterMap,ShrineData.lua,defined,2,,Polyphemus,波吕斐摩斯,,1.139672,24556151
