id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
AchAllArcana,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllArcanaMax,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllAspects,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllFamiliars,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllFamiliarsMax,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllKeepsakes,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllOtherAch,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllRandomStreak,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllRandomUnderworld,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchAllWeapons,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchBathHouse,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchBeatChronosWithArcana,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchBeatHecateNoArcana,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchBeatRivalsVow1,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchBeatTyphonWithWeapons,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchBounties1,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
AchCatchFish,AchievementData,AchievementData,AchievementData.lua,defined,2,DefaultAchievement,,,,1.139672,24556151
