id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
AphroditeBurst,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,defined,4,AphroditeColorProjectile,,,,1.139672,24556151
AphroditeCastProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,stub,1,AphroditeColorProjectile,,,,1.139672,24556151
AphroditeColorProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,defined,2,,,,,1.139672,24556151
AphroditeRushProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,defined,3,AphroditeColorProjectile,,,,1.139672,24556151
ApolloCast,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,defined,3,ApolloColorProjectile,,,,1.139672,24556151
ApolloCastRapid,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,stub,1,ApolloColorProjectile,,,,1.139672,24556151
ApolloColorProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,defined,2,,,,,1.139672,24556151
ApolloRetaliateStrike,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,stub,1,ApolloColorProjectile,,,,1.139672,24556151
ApolloSingleCastStrike,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,stub,1,ApolloColorProjectile,,,,1.139672,24556151
AresColorProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,defined,2,,,,,1.139672,24556151
AresProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_Gods.lua,defined,3,AresColorProjectile,,,,1.139672,24556151
ArtemisCastVolley,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,stub,1,ArtemisColorProjectile,,,,1.139672,24556151
ArtemisColorProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,defined,3,,,,,1.139672,24556151
ArtemisHealVolleyShot,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,defined,4,,,,,1.139672,24556151
ArtemisHuntersMark,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,stub,0,,,,,1.139672,24556151
ArtemisSniperBolt,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,defined,1,,,,,1.139672,24556151
ArtemisSupportingFire,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,stub,1,ArtemisColorProjectile,,,,1.139672,24556151
ArtemisVolleyShot,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,defined,2,,,,,1.139672,24556151
AthenaCastProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,stub,1,AthenaColorProjectile,,,,1.139672,24556151
AthenaColorProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,defined,2,,,,,1.139672,24556151
AthenaDeflectingProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,stub,1,AthenaColorProjectile,,,,1.139672,24556151
AthenaLandingNova,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,stub,1,AthenaColorProjectile,,,,1.139672,24556151
AthenaRushProjectile,ProjectileData,ProjectileData<overwrite>,ProjectileData_NPC.lua,defined,2,AthenaColorProjectile,,,,1.139672,24556151
AutomatonBeamBolt,ProjectileData,ProjectileData<overwrite>,ProjectileData_EnemyP.lua,defined,2,,,,,1.139672,24556151
AutomatonMeleeArcLeft,ProjectileData,ProjectileData<overwrite>,ProjectileData_EnemyP.lua,defined,2,,,,,1.139672,24556151
AutomatonMeleeArcRight,ProjectileData,ProjectileData<overwrite>,ProjectileData_EnemyP.lua,defined,2,,,,,1.139672,24556151
AutomatonOrbit,ProjectileData,ProjectileData<overwrite>,ProjectileData_EnemyP.lua,defined,1,,,,,1.139672,24556151
AutomatonScan,ProjectileData,ProjectileData<overwrite>,ProjectileData_EnemyP.lua,stub,0,,,,,1.139672,24556151
AutomatonWhirlwind,ProjectileData,ProjectileData<overwrite>,ProjectileData_EnemyP.lua,defined,2,,,,,1.139672,24556151
AutomatonWhirlwind_Elite,ProjectileData,ProjectileData<overwrite>,ProjectileData_EnemyP.lua,stub,1,AutomatonWhirlwind,,,,1.139672,24556151
BaseFireZone,ProjectileData,ProjectileData<overwrite>,ProjectileData.lua,defined,5,,,,,1.139672,24556151
BattleStandardAoE,ProjectileData,ProjectileData<overwrite>,ProjectileData_Traps.lua,defined,1,,,,,1.139672,24556151
BeamTrap,ProjectileData,ProjectileData<overwrite>,ProjectileData_Traps.lua,defined,2,,,,,1.139672,24556151
BlastCubeExplosion,ProjectileData,ProjectileData<overwrite>,ProjectileData_Traps.lua,defined,1,,,,,1.139672,24556151
BloodMineToss,ProjectileData,ProjectileData<overwrite>,ProjectileData_Traps.lua,stub,0,,,,,1.139672,24556151
