id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
AfterTrueEndingBeforeFinalBoss,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
AlchemyUnlocked,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
AllQuestsCompleted,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
AllShrineBountiesCompleted,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
AllWeaponsUnlocked,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
AllowOutroSkip,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
AnyGhostAdminItemAffordable,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
ArachneBrooding,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
AresUnlocked,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
ArtemisLeavesHubAfterTrueEnding,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
ArtemisSingingBlockedByEvents,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,defined,1,,,,,1.139672,24556151
AthenaPresentAndWaiting,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
AxeHiddenAspectRevealInProgress,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
BlindBoxLootRequirements,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
BossDifficultyActive,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
BossDifficultyWasActiveBeforeDeath,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
BountyBoardUnlockAvailable,NamedRequirementsData,NamedRequirementsData,RequirementsData.lua,stub,0,,,,,1.139672,24556151
