id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
BaseFish,ResourceData,ResourceData,ResourceData.lua,debug_only,2,,,,,1.139672,24556151
BaseOre,ResourceData,ResourceData,ResourceData.lua,debug_only,2,,,,,1.139672,24556151
BasePlant,ResourceData,ResourceData,ResourceData.lua,debug_only,2,,,,,1.139672,24556151
BaseResource,ResourceData,ResourceData,ResourceData.lua,debug_only,2,,,,,1.139672,24556151
BaseSeed,ResourceData,ResourceData,ResourceData.lua,debug_only,2,,,,,1.139672,24556151
CardUpgradePoints,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,CardUpgradePoints,月尘,,1.139672,24556151
CharonPoints,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,CharonPoints,奥波勒斯信用点,,1.139672,24556151
CosmeticsPoints,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,CosmeticsPoints,声望,,1.139672,24556151
DeathAreaPoints,ResourceData,ResourceData,ResourceData.lua,defined,10,BaseResource,DeathAreaPoints,冥府煤灰,,1.139672,24556151
DreamPoints,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,DreamPoints,闪亮星星,,1.139672,24556151
FamiliarPoints,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,FamiliarPoints,女巫之宝,,1.139672,24556151
FishChaosCommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishChaosCommon,马蒂鱼,,1.139672,24556151
FishChaosLegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishChaosLegendary,虚空鳐,,1.139672,24556151
FishChaosRare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishChaosRare,源祖水母,,1.139672,24556151
FishFCommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishFCommon,怨艾鱼,,1.139672,24556151
FishFLegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishFLegendary,魂腹鱼,,1.139672,24556151
FishFRare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishFRare,残像鱼,,1.139672,24556151
FishGCommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishGCommon,石鳖,,1.139672,24556151
FishGLegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishGLegendary,潜鳍鱼,,1.139672,24556151
FishGRare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishGRare,渠鼻鱼,,1.139672,24556151
FishHCommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishHCommon,抽泣鱼,,1.139672,24556151
FishHLegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishHLegendary,泪海马,,1.139672,24556151
FishHRare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishHRare,煎熬鱼,,1.139672,24556151
FishICommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishICommon,瞬息鱼,,1.139672,24556151
FishILegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishILegendary,冥古鱼,,1.139672,24556151
FishIRare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishIRare,金鱼,,1.139672,24556151
FishNCommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishNCommon,肋眼鱼,,1.139672,24556151
FishNLegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishNLegendary,噬颈鲨,,1.139672,24556151
FishNRare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishNRare,丧鳗,,1.139672,24556151
FishOCommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishOCommon,虾,,1.139672,24556151
FishOLegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishOLegendary,鱿鱼,,1.139672,24556151
FishORare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishORare,寄居蟹,,1.139672,24556151
FishPCommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishPCommon,柱头蟹,,1.139672,24556151
FishPLegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishPLegendary,星航鱼,,1.139672,24556151
FishPRare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishPRare,冠顶龟,,1.139672,24556151
FishQCommon,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishQCommon,七鳃鳗,,1.139672,24556151
FishQLegendary,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishQLegendary,奇美鱼,,1.139672,24556151
FishQRare,ResourceData,ResourceData,ResourceData.lua,defined,4,BaseResource;BaseFish,FishQRare,风暴喉,,1.139672,24556151
GemPoints,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,GemPoints,宝石,,1.139672,24556151
GiftPoints,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,GiftPoints,蜜露,,1.139672,24556151
GiftPointsEpic,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,GiftPointsEpic,双份鱼饵,,1.139672,24556151
GiftPointsRare,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,GiftPointsRare,浴盐,,1.139672,24556151
HadesSpearPoints,ResourceData,ResourceData,ResourceData.lua,defined,9,BaseResource,HadesSpearPoints,吉加罗斯,,1.139672,24556151
HypnosPoints,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,HypnosPoints,梦雾,,1.139672,24556151
IcarusPoints,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,IcarusPoints,灵质秘药,,1.139672,24556151
MedeaPoints,ResourceData,ResourceData,ResourceData.lua,defined,5,BaseResource,MedeaPoints,泪珠蒸汽,,1.139672,24556151
MemPointsCommon,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,MemPointsCommon,魂魄,,1.139672,24556151
MetaCardPointsCommon,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,MetaCardPointsCommon,尘灰,,1.139672,24556151
MetaCurrency,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,MetaCurrency,骨骸,,1.139672,24556151
MetaFabric,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,MetaFabric,命运丝线,,1.139672,24556151
Mixer5Common,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,Mixer5Common,星尘,,1.139672,24556151
Mixer6Common,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,Mixer6Common,黑暗,,1.139672,24556151
MixerFBoss,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,MixerFBoss,余烬,,1.139672,24556151
MixerGBoss,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,MixerGBoss,珍珠,,1.139672,24556151
MixerHBoss,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,MixerHBoss,泪珠,,1.139672,24556151
MixerIBoss,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource,MixerIBoss,玄象砂,,1.139672,24556151
MixerMythic,ResourceData,ResourceData,ResourceData.lua,defined,9,BaseResource,MixerMythic,熵,,1.139672,24556151
MixerNBoss,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,MixerNBoss,羊毛,,1.139672,24556151
MixerOBoss,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,MixerOBoss,金苹果,,1.139672,24556151
MixerPBoss,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,MixerPBoss,羽毛,,1.139672,24556151
MixerQBoss,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,MixerQBoss,虚空之眼,,1.139672,24556151
MixerShadow,ResourceData,ResourceData,ResourceData.lua,defined,9,BaseResource,MixerShadow,暗影,,1.139672,24556151
Money,ResourceData,ResourceData,ResourceData.lua,defined,11,,Money,金币,,1.139672,24556151
MysteryResource,ResourceData,ResourceData,ResourceData.lua,defined,3,BaseResource,MysteryResource,？？？,,1.139672,24556151
OreChaosProtoplasm,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseOre,OreChaosProtoplasm,混沌质,,1.139672,24556151
OreFSilver,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource;BaseOre,OreFSilver,银矿,,1.139672,24556151
OreGLime,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseOre,OreGLime,石灰岩,,1.139672,24556151
OreHGlassrock,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseOre,OreHGlassrock,曜石,,1.139672,24556151
OreIMarble,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseOre,OreIMarble,大理石,,1.139672,24556151
OreNBronze,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource;BaseOre,OreNBronze,青铜,,1.139672,24556151
OreOIron,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseOre,OreOIron,铁矿,,1.139672,24556151
OrePAdamant,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseOre,OrePAdamant,精金,,1.139672,24556151
OreQScales,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseOre,OreQScales,蛇鳞,,1.139672,24556151
PlantChaosThalamus,ResourceData,ResourceData,ResourceData.lua,defined,9,BaseResource,PlantChaosThalamus,混沌苞蕾,,1.139672,24556151
PlantChaosThalamusSeed,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource;BaseSeed,PlantChaosThalamusSeed,原初种子,,1.139672,24556151
PlantFMoly,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BasePlant,PlantFMoly,摩吕草,,1.139672,24556151
PlantFNightshade,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,PlantFNightshade,颠茄,,1.139672,24556151
PlantFNightshadeSeed,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseSeed,PlantFNightshadeSeed,颠茄种子,,1.139672,24556151
PlantGCattail,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,PlantGCattail,香蒲,,1.139672,24556151
PlantGCattailSeed,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseSeed,PlantGCattailSeed,香蒲种子,,1.139672,24556151
PlantGLotus,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BasePlant,PlantGLotus,莲花,,1.139672,24556151
PlantHMyrtle,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BasePlant,PlantHMyrtle,香桃木,,1.139672,24556151
PlantHWheat,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,PlantHWheat,小麦,,1.139672,24556151
PlantHWheatSeed,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseSeed,PlantHWheatSeed,小麦种子,,1.139672,24556151
PlantIPoppy,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource,PlantIPoppy,罂粟,,1.139672,24556151
PlantIPoppySeed,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BaseSeed,PlantIPoppySeed,罂粟种子,,1.139672,24556151
PlantIShaderot,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BasePlant,PlantIShaderot,糜影草,,1.139672,24556151
PlantNGarlic,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,PlantNGarlic,大蒜,,1.139672,24556151
PlantNGarlicSeed,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource;BaseSeed,PlantNGarlicSeed,蒜瓣,,1.139672,24556151
PlantNMoss,ResourceData,ResourceData,ResourceData.lua,defined,8,BaseResource;BasePlant,PlantNMoss,青苔,,1.139672,24556151
PlantODriftwood,ResourceData,ResourceData,ResourceData.lua,defined,6,BaseResource;BasePlant,PlantODriftwood,浮木,,1.139672,24556151
PlantOMandrake,ResourceData,ResourceData,ResourceData.lua,defined,7,BaseResource,PlantOMandrake,曼德拉草,,1.139672,24556151
