id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
B_Combat01,RoomSetData,RoomSetData.Anomaly,RoomDataAnomaly.lua,stub,1,BaseAnomaly,,,,1.139672,24556151
B_Combat05,RoomSetData,RoomSetData.Anomaly,RoomDataAnomaly.lua,stub,1,BaseAnomaly,,,,1.139672,24556151
B_Combat06,RoomSetData,RoomSetData.Anomaly,RoomDataAnomaly.lua,stub,1,BaseAnomaly,,,,1.139672,24556151
B_Combat07,RoomSetData,RoomSetData.Anomaly,RoomDataAnomaly.lua,stub,1,BaseAnomaly,,,,1.139672,24556151
B_Combat08,RoomSetData,RoomSetData.Anomaly,RoomDataAnomaly.lua,stub,1,BaseAnomaly,,,,1.139672,24556151
B_Combat10,RoomSetData,RoomSetData.Anomaly,RoomDataAnomaly.lua,stub,1,BaseAnomaly,,,,1.139672,24556151
B_Combat21,RoomSetData,RoomSetData.Anomaly,RoomDataAnomaly.lua,stub,1,BaseAnomaly,,,,1.139672,24556151
BaseAnomaly,RoomSetData,RoomSetData.Anomaly,RoomDataAnomaly.lua,debug_only,34,,,,,1.139672,24556151
BaseChaos,RoomSetData,RoomSetData.Chaos,RoomDataChaos.lua,debug_only,60,,,,,1.139672,24556151
BaseF,RoomSetData,RoomSetData.F,RoomDataF.lua,debug_only,43,,,,,1.139672,24556151
BaseF_Combat,RoomSetData,RoomSetData.F,RoomDataF.lua,debug_only,2,BaseF,,,,1.139672,24556151
BaseG,RoomSetData,RoomSetData.G,RoomDataG.lua,debug_only,56,,,,,1.139672,24556151
BaseG_Combat,RoomSetData,RoomSetData.G,RoomDataG.lua,debug_only,6,BaseG,,,,1.139672,24556151
BaseH,RoomSetData,RoomSetData.H,RoomDataH.lua,debug_only,69,,,,,1.139672,24556151
BaseI,RoomSetData,RoomSetData.I,RoomDataI.lua,debug_only,53,,,,,1.139672,24556151
BaseN,RoomSetData,RoomSetData.N,RoomDataN.lua,debug_only,51,,,,,1.139672,24556151
BaseN_SubRooms,RoomSetData,RoomSetData.N_SubRooms,RoomDataN.lua,debug_only,41,,,,,1.139672,24556151
BaseO,RoomSetData,RoomSetData.O,RoomDataO.lua,debug_only,55,,,,,1.139672,24556151
BaseP,RoomSetData,RoomSetData.P,RoomDataP.lua,debug_only,54,,,,,1.139672,24556151
BaseQ,RoomSetData,RoomSetData.Q,RoomDataQ.lua,debug_only,47,,,,,1.139672,24556151
BaseRoom,RoomSetData,RoomSetData.Base,RoomData.lua,debug_only,27,,,,,1.139672,24556151
BiomeStartRoom,RoomSetData,RoomSetData.Base,RoomData.lua,debug_only,2,,,,,1.139672,24556151
C_Boss01,RoomSetData,RoomSetData.C,RoomDataC.lua,defined,47,,,,,1.139672,24556151
Chaos_01,RoomSetData,RoomSetData.Chaos,RoomDataChaos.lua,defined,7,BaseChaos,,,,1.139672,24556151
Chaos_02,RoomSetData,RoomSetData.Chaos,RoomDataChaos.lua,defined,4,BaseChaos,,,,1.139672,24556151
Chaos_03,RoomSetData,RoomSetData.Chaos,RoomDataChaos.lua,defined,6,BaseChaos,,,,1.139672,24556151
Chaos_04,RoomSetData,RoomSetData.Chaos,RoomDataChaos.lua,defined,3,BaseChaos,,,,1.139672,24556151
Chaos_05,RoomSetData,RoomSetData.Chaos,RoomDataChaos.lua,defined,5,BaseChaos,,,,1.139672,24556151
Chaos_06,RoomSetData,RoomSetData.Chaos,RoomDataChaos.lua,defined,4,BaseChaos,,,,1.139672,24556151
Dream_Intro,RoomSetData,RoomSetData.Dream,RoomDataDream.lua,defined,31,,,,ShowDreamRunMessage,1.139672,24556151
Dream_PostBoss01,RoomSetData,RoomSetData.Dream,RoomDataDream.lua,defined,35,,,,,1.139672,24556151
Dream_PostBoss02,RoomSetData,RoomSetData.Dream,RoomDataDream.lua,defined,5,Dream_PostBoss01,,,,1.139672,24556151
Dream_PostBoss03,RoomSetData,RoomSetData.Dream,RoomDataDream.lua,defined,6,Dream_PostBoss01,,,,1.139672,24556151
EndCredits01,RoomSetData,RoomSetData.I,RoomDataI.lua,defined,32,,,,,1.139672,24556151
F_Boss01,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,34,BaseF,,,,1.139672,24556151
F_Boss02,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,32,BaseF,,,,1.139672,24556151
F_Combat01,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,14,BaseF_Combat,,,,1.139672,24556151
F_Combat02,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,7,BaseF_Combat,,,,1.139672,24556151
F_Combat03,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,7,BaseF_Combat,,,,1.139672,24556151
F_Combat04,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,7,BaseF_Combat,,,,1.139672,24556151
F_Combat05,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat06,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,5,BaseF_Combat,,,,1.139672,24556151
F_Combat07,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,5,BaseF_Combat,,,,1.139672,24556151
F_Combat08,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat09,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat10,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat11,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,8,BaseF_Combat,,,,1.139672,24556151
F_Combat12,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat13,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat14,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat15,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat16,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat17,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat18,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,6,BaseF_Combat,,,,1.139672,24556151
F_Combat19,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,4,BaseF_Combat,,,,1.139672,24556151
F_Combat20,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,5,BaseF_Combat,,,,1.139672,24556151
F_Combat21,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,4,BaseF_Combat,,,,1.139672,24556151
F_Combat22,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,5,BaseF_Combat,,,,1.139672,24556151
F_MiniBoss01,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,22,BaseF,,,,1.139672,24556151
F_MiniBoss02,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,22,BaseF,,,,1.139672,24556151
F_MiniBoss03,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,22,BaseF,,,,1.139672,24556151
F_Opening01,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,38,BaseF;BiomeStartRoom,,,,1.139672,24556151
F_Opening02,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,10,F_Opening01;BaseF,,,,1.139672,24556151
F_Opening03,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,10,F_Opening01;BaseF,,,,1.139672,24556151
F_PostBoss01,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,39,BaseF,,,,1.139672,24556151
F_PreBoss01,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,31,BaseF,,,,1.139672,24556151
F_Reprieve01,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,24,BaseF,,,nil,1.139672,24556151
F_Shop01,RoomSetData,RoomSetData.F,RoomDataF.lua,defined,26,BaseF,,,,1.139672,24556151
