source_table,source_id,item_id,occurrences,source_file,game_version,steam_build
RewardStoreData,FieldsOptionalRewards,ArmorBoost,1,LootData.lua,1.139672,24556151
RewardStoreData,FieldsOptionalRewards,GiftDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,FieldsOptionalRewards,MaxHealthDropSmall,3,LootData.lua,1.139672,24556151
RewardStoreData,FieldsOptionalRewards,MaxManaDropSmall,3,LootData.lua,1.139672,24556151
RewardStoreData,FieldsOptionalRewards,MetaCardPointsCommonDrop,4,LootData.lua,1.139672,24556151
RewardStoreData,FieldsOptionalRewards,MetaCurrencyDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,FieldsOptionalRewards,MinorTalentDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,FieldsOptionalRewards,RoomMoneyTinyDrop,3,LootData.lua,1.139672,24556151
RewardStoreData,FieldsOptionalRewards,RoomRewardHealDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,HubRewards,Boon,5,LootData.lua,1.139672,24556151
RewardStoreData,HubRewards,HermesUpgrade,1,LootData.lua,1.139672,24556151
RewardStoreData,HubRewards,MaxHealthDropBig,1,LootData.lua,1.139672,24556151
RewardStoreData,HubRewards,MaxManaDropBig,1,LootData.lua,1.139672,24556151
RewardStoreData,HubRewards,SpellDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,HubRewards,WeaponUpgrade,1,LootData.lua,1.139672,24556151
RewardStoreData,MetaProgress,GiftDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,MetaProgress,MetaCardPointsCommonBigDrop,4,LootData.lua,1.139672,24556151
RewardStoreData,MetaProgress,MetaCardPointsCommonDrop,8,LootData.lua,1.139672,24556151
RewardStoreData,MetaProgress,MetaCurrencyBigDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,MetaProgress,MetaCurrencyDrop,4,LootData.lua,1.139672,24556151
RewardStoreData,MinorRunProgress,ArmorBoost,1,LootData.lua,1.139672,24556151
RewardStoreData,MinorRunProgress,ElementalBoost,1,LootData.lua,1.139672,24556151
RewardStoreData,MinorRunProgress,EmptyMaxHealthSmallDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,MinorRunProgress,MaxHealthDropSmall,3,LootData.lua,1.139672,24556151
RewardStoreData,MinorRunProgress,MaxManaDropSmall,3,LootData.lua,1.139672,24556151
RewardStoreData,MinorRunProgress,MinorTalentDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,MinorRunProgress,StoreRewardRandomStack,1,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,Boon,4,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,Devotion,1,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,HermesUpgrade,1,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,MaxHealthDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,MaxManaDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,RoomMoneyDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,SpellDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,StackUpgrade,2,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,TalentDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,RunProgress,WeaponUpgrade,2,LootData.lua,1.139672,24556151
RewardStoreData,Secrets,TrialUpgrade,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,AirBoost,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,EarthBoost,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,EmptyMaxHealthSmallDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,FireBoost,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,GiftDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,MaxHealthDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,MaxHealthDropSmall,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,MaxManaDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,MaxManaDropSmall,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,MetaCardPointsCommonDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,MetaCurrencyDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,MinorTalentDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,RoomMoneyDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,RoomMoneyTinyDrop,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,StackUpgrade,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewards,WaterBoost,1,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewardsHard,MaxHealthDrop,2,LootData.lua,1.139672,24556151
RewardStoreData,SubRoomRewardsHard,MaxManaDrop,2,LootData.lua,1.139672,24556151
