id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
FieldsCombatRewards,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
FieldsOptionalRewards,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
HubRewards,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
InvalidOverrides,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
MetaProgress,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
MinorRunProgress,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
PreHubRewards,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
RunProgress,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
Secrets,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,Secrets,混沌,,1.139672,24556151
SubRoomRewards,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
SubRoomRewardsHard,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
TartarusRewards,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
TyphonBossRewards,RewardStoreData,RewardStoreData,LootData.lua,stub,0,,,,,1.139672,24556151
I_WorldShop,StoreData,StoreData,StoreData.lua,defined,1,,,,,1.139672,24556151
Q_WorldShop,StoreData,StoreData,StoreData.lua,defined,1,,,,,1.139672,24556151
RoomShop,StoreData,StoreData,StoreData.lua,defined,5,,,,,1.139672,24556151
SurfaceShop,StoreData,StoreData,StoreData.lua,defined,1,,SurfaceShop,赫尔墨斯的神龛,,1.139672,24556151
WorldShop,StoreData,StoreData,StoreData.lua,defined,1,,,,,1.139672,24556151
ZagPedestalOptions,StoreData,StoreData,StoreData.lua,defined,1,,,,,1.139672,24556151
ZagreusContractRequirement,StoreData,StoreData,StoreData.lua,defined,3,,,,,1.139672,24556151
DelayMax,SurfaceShopData,SurfaceShopData,SurfaceShopData.lua,stub,0,,,,,1.139672,24556151
DelayMin,SurfaceShopData,SurfaceShopData,SurfaceShopData.lua,stub,0,,,,,1.139672,24556151
DelayPriceDiscount,SurfaceShopData,SurfaceShopData,SurfaceShopData.lua,stub,0,,,,,1.139672,24556151
ImpatienceMultiplier,SurfaceShopData,SurfaceShopData,SurfaceShopData.lua,stub,0,,,,,1.139672,24556151
AxeArmCastAspect,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,7,,AxeArmCastAspect,卡戎形态,,1.139672,24556151
AxeArmCastAspect2,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxeArmCastAspect3,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxeArmCastAspect4,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxeArmCastAspect5,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,9,BaseWeaponUpgrade,,,,1.139672,24556151
AxePerfectCriticalAspect,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,7,,AxePerfectCriticalAspect,塔纳托斯形态,,1.139672,24556151
AxePerfectCriticalAspect2,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxePerfectCriticalAspect3,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxePerfectCriticalAspect4,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxePerfectCriticalAspect5,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,9,BaseWeaponUpgrade,,,,1.139672,24556151
AxeRallyAspect,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,,AxeRallyAspect,涅伽尔形态,,1.139672,24556151
AxeRallyAspect2,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxeRallyAspect3,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxeRallyAspect4,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxeRallyAspect5,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,9,BaseWeaponUpgrade,,,,1.139672,24556151
AxeRecoveryAspect2,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
AxeRecoveryAspect3,WeaponShopItemData,WeaponShopItemData,WeaponShopData.lua,defined,8,BaseWeaponUpgrade,,,,1.139672,24556151
