table,entries,files,output,game_version,steam_build
AchievementData,51,AchievementData.lua,progression.csv,1.139672,24556151
AutomaticExtractProperties,17,UIData.lua,other_data.csv,1.139672,24556151
BadgeData,51,BadgeData.lua,progression.csv,1.139672,24556151
BaseWaveOverrideValues,3,EncounterData.lua,other_data.csv,1.139672,24556151
BiomeStateData,7,BiomeStateData.lua,other_data.csv,1.139672,24556151
BiomeTimeLimits,1,ShrineData.lua,other_data.csv,1.139672,24556151
BossDifficultyShrineEncounterBiomeMap,8,ShrineData.lua,other_data.csv,1.139672,24556151
BossDifficultyShrineEncounterMap,8,ShrineData.lua,other_data.csv,1.139672,24556151
BountyData,103,BountyData.lua,progression.csv,1.139672,24556151
CodexData,8,CodexData.lua,other_data.csv,1.139672,24556151
CodexOrdering,9,CodexData.lua,other_data.csv,1.139672,24556151
CollisionReactionData,1,EnemyData.lua,other_data.csv,1.139672,24556151
Color,321,ColorData.lua,other_data.csv,1.139672,24556151
CombatUI,27,UIData.lua,other_data.csv,1.139672,24556151
ConsumableData,97,ConsumableData.lua,consumables.csv,1.139672,24556151
CostumeData,1,CostumeData.lua,progression.csv,1.139672,24556151
CreditsData,6,CreditsData.lua,other_data.csv,1.139672,24556151
EffectData,191,EffectData.lua,other_data.csv,1.139672,24556151
EncounterData,318,EncounterData.lua;EncounterData_Arachne.lua;EncounterData_Artemis.lua;EncounterData_Athena.lua;EncounterData_Boss.lua;EncounterData_Challenge.lua;EncounterData_Devotion.lua;EncounterData_Generated.lua;EncounterData_Heracles.lua;EncounterData_Icarus.lua;EncounterData_Intro.lua;EncounterData_MiniBoss.lua;EncounterData_Nemesis.lua;EncounterData_Opening.lua;EncounterData_Story.lua;EncounterData_Test.lua;EncounterData_TimeChallenge.lua;EncounterData_Unique.lua,encounters.csv,1.139672,24556151
EncounterSets,54,EncounterSets.lua,other_data.csv,1.139672,24556151
