trait_id,source_type,source_id,source_file,game_version,steam_build
AgilityCostume,unit,NPC_Arachne_01,NPCData_Arachne.lua,1.139672,24556151
AllCloseBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
AllCloseBoon,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
AllElementalBoon,loot,HeraUpgrade,LootData_Hera.lua,1.139672,24556151
AloneDamageBoon,loot,HestiaUpgrade,LootData_Hestia.lua,1.139672,24556151
AmplifyConeBoon,loot,PoseidonUpgrade,LootData_Poseidon.lua,1.139672,24556151
AntiArmorBoon,loot,HephaestusUpgrade,LootData_Hephaestus.lua,1.139672,24556151
AphroditeCastBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
AphroditeManaBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
AphroditeSpecialBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
AphroditeSprintBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
AphroditeWeaponBoon,loot,AphroditeUpgrade,LootData_Aphrodite.lua,1.139672,24556151
ApolloBlindBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ApolloCastAreaBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ApolloCastBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ApolloExCastBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ApolloManaBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ApolloRetaliateBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ApolloSecondStageCastBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ApolloSecondStageCastBoon,loot,ZeusUpgrade,LootData_Zeus.lua,1.139672,24556151
ApolloSpecialBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
ApolloSprintBoon,loot,ApolloUpgrade,LootData_Apollo.lua,1.139672,24556151
