id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
AetherBoon,TraitData,TraitSetData.Base,TraitData.lua,debug_only,2,,AetherBoon,{!Icons.CurseAether}以太,,1.139672,24556151
AgilityCostume,TraitData,TraitData<overwrite>,TraitData_Arachne.lua,defined,8,CostumeTrait;ForceCommonAppearanceTrait,AgilityCostume,淡紫裙装,,1.139672,24556151
AirBoon,TraitData,TraitSetData.Base,TraitData.lua,debug_only,2,,AirBoon,{!Icons.CurseAir}风,,1.139672,24556151
AirEssence,TraitData,TraitSetData.Essence,TraitData_Essence.lua,defined,4,AirBoon,,,,1.139672,24556151
AllCloseBoon,TraitData,TraitData<overwrite>,TraitData_Duo.lua,defined,5,SynergyTrait,AllCloseBoon,度假胜地,,1.139672,24556151
AllElementalBoon,TraitData,TraitData<overwrite>,TraitData_Hera.lua,defined,7,LegendaryTrait,AllElementalBoon,合家团圆,GrantBoons,1.139672,24556151
AloneDamageBoon,TraitData,TraitData<overwrite>,TraitData_Hestia.lua,defined,6,BaseTrait;FireBoon,AloneDamageBoon,风烛忽灭,,1.139672,24556151
AmplifyConeBoon,TraitData,TraitData<overwrite>,TraitData_Poseidon.lua,defined,7,LegendaryTrait;WaterBoon,AmplifyConeBoon,巨浪滔天,,1.139672,24556151
AntiArmorBoon,TraitData,TraitData<overwrite>,TraitData_Hephaestus.lua,defined,6,BaseTrait;FireBoon,AntiArmorBoon,熔甲之触,,1.139672,24556151
AphroditeCastBoon,TraitData,TraitData<overwrite>,TraitData_Aphrodite.lua,defined,9,BaseTrait;AirBoon,AphroditeCastBoon,沦陷之环,,1.139672,24556151
AphroditeManaBoon,TraitData,TraitData<overwrite>,TraitData_Aphrodite.lua,defined,7,BaseTrait;AirBoon,AphroditeManaBoon,翩翩汇流,,1.139672,24556151
AphroditeSpecialBoon,TraitData,TraitData<overwrite>,TraitData_Aphrodite.lua,defined,9,BaseTrait;WaterBoon,AphroditeSpecialBoon,心动绝技,,1.139672,24556151
AphroditeSprintBoon,TraitData,TraitData<overwrite>,TraitData_Aphrodite.lua,defined,10,BaseTrait;LegacyTrait;AirBoon,AphroditeSprintBoon,激情奔行,,1.139672,24556151
AphroditeWeaponBoon,TraitData,TraitData<overwrite>,TraitData_Aphrodite.lua,defined,9,BaseTrait;WaterBoon,AphroditeWeaponBoon,心动打击,,1.139672,24556151
ApolloBlindBoon,TraitData,TraitData<overwrite>,TraitData_Apollo.lua,defined,6,BaseTrait;FireBoon,ApolloBlindBoon,如芒在背,,1.139672,24556151
ApolloCastAreaBoon,TraitData,TraitData<overwrite>,TraitData_Apollo.lua,defined,6,BaseTrait;AirBoon,ApolloCastAreaBoon,超级新星,,1.139672,24556151
