id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
AetherBoonAlt,IconData,IconData,UIData.lua,defined,1,,AetherBoonAlt,{!Icons.CurseAether}以太,,1.139672,24556151
AetherNoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
AirBoonAlt,IconData,IconData,UIData.lua,defined,1,,AirBoonAlt,{!Icons.CurseAir}风,,1.139672,24556151
AirNoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Alert,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
AllElementsBoonHack,IconData,IconData,UIData.lua,defined,1,,AllElementsBoonHack,{!Icons.EarthNoTooltip}{!Icons.WaterNoTooltip}{!Icons.AirNoTooltip}{!Icons.FireNoTooltip}元素,,1.139672,24556151
ArmorTotal,IconData,IconData,UIData.lua,defined,1,,ArmorTotal,{!Icons.ArmorTotal} 护甲,,1.139672,24556151
ArmorTotal_NoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
AttackWarning,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
AwardRank1,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
AwardRank2,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
AwardRank3,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
AwardRank4,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeEphyraIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeErebusIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeFieldsIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeMysteryIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeOceanusIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeOlympusIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeSummitIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeTartarusIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BiomeThessalyIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BlankIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BloodDropIcon,IconData,IconData,UIData.lua,defined,1,,BloodDropIcon,{!Icons.BloodDropNoTooltip} 血浆,,1.139672,24556151
BloodDropNoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BloodDropWithCountIcon,IconData,IconData,UIData.lua,defined,1,,BloodDropWithCountIcon,{!Icons.BloodDropNoTooltip} 血浆,,1.139672,24556151
BountyEyeIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BountySkull,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BountySkullEmpty,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BountyTarget,IconData,IconData,UIData.lua,defined,1,,BountyTarget,击杀 {!Icons.BountyTarget} 以获得 {!Icons.Currency}！,,1.139672,24556151
BuffExtraChance,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BuffExtraChanceAlt,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BuffFutureBoonRarity,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BuffHealing,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BuffMegaPom,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BuffSlottedBoonRarity,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
BuffWeapon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Bullet,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
CardUpgradePointsIcon,IconData,IconData,UIData.lua,defined,1,,CardUpgradePointsIcon,{!Icons.CardUpgradePoints} 月尘,,1.139672,24556151
CardUpgradePointsIconAlt,IconData,IconData,UIData.lua,defined,1,,CardUpgradePointsIconAlt,{!Icons.CardUpgradePoints} 月尘,,1.139672,24556151
CatHarvest,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Champion,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
ChaosIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
CheckboxEmpty,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
CheckboxFilled,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Clock,IconData,IconData,UIData.lua,defined,1,,Clock,{!Icons.Clock} 倒计时,,1.139672,24556151
CodexEntryCompleteIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
CodexEntryIncompleteIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
CosmeticsPointsIcon,IconData,IconData,UIData.lua,defined,1,,CosmeticsPointsIcon,{!Icons.CosmeticsPoints} 声望,,1.139672,24556151
Currency,IconData,IconData,UIData.lua,defined,1,,Currency,{!Icons.Currency_NoTooltip} 金币,,1.139672,24556151
Currency_NoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
CurseAether,IconData,IconData,UIData.lua,defined,1,,CurseAether,{!Icons.CurseAether}以太,,1.139672,24556151
CurseAir,IconData,IconData,UIData.lua,defined,1,,CurseAir,{!Icons.CurseAir}风,,1.139672,24556151
CurseEarth,IconData,IconData,UIData.lua,defined,1,,CurseEarth,{!Icons.CurseEarth}土,,1.139672,24556151
CurseFire,IconData,IconData,UIData.lua,defined,1,,CurseFire,{!Icons.CurseFire}火,,1.139672,24556151
CurseWater,IconData,IconData,UIData.lua,defined,1,,CurseWater,{!Icons.CurseWater}水,,1.139672,24556151
Dash,IconData,IconData,UIData.lua,defined,1,,Dash,冲刺,,1.139672,24556151
DeathIcon,IconData,IconData,UIData.lua,defined,1,,DeathIcon,{!Icons.DeathIcon} 黑夜之拥,,1.139672,24556151
DefaultPurchasedCheckmark,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
DivLong,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
DownArrow,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
DreamIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
DreamPointsIcon,IconData,IconData,UIData.lua,defined,1,,DreamPointsIcon,{!Icons.DreamPoints} 闪亮星星,,1.139672,24556151
EarthBoonAlt,IconData,IconData,UIData.lua,defined,1,,EarthBoonAlt,{!Icons.CurseEarth}土,,1.139672,24556151
EarthNoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
EasyModeIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Elite,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
EnemyHealth,IconData,IconData,UIData.lua,defined,1,,EnemyHealth,{!Icons.EnemyHealth} 生命值,,1.139672,24556151
ExorcismLeft,IconData,IconData,UIData.lua,defined,1,,ExorcismLeft,招募（左）,,1.139672,24556151
ExorcismRight,IconData,IconData,UIData.lua,defined,1,,ExorcismRight,招募（右）,,1.139672,24556151
ExtendedShopAfter,IconData,IconData,UIData.lua,defined,1,,ExtendedShopAfter,{!Icons.ExtendedShop_NoTooltip} 延时,,1.139672,24556151
ExtendedShopBefore,IconData,IconData,UIData.lua,defined,1,,ExtendedShopBefore,{!Icons.ExtendedShop_NoTooltip} 延时,,1.139672,24556151
ExtendedShop_NoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
ExtraChance,IconData,IconData,UIData.lua,defined,1,,ExtraChance,{!Icons.ExtraChance} 死里逃生,,1.139672,24556151
ExtraChanceAlt,IconData,IconData,UIData.lua,defined,1,,ExtraChanceAlt,死里逃生,,1.139672,24556151
ExtraChanceCat,IconData,IconData,UIData.lua,defined,1,,ExtraChanceCat,死里逃生,,1.139672,24556151
ExtraChanceMisc,IconData,IconData,UIData.lua,defined,1,,ExtraChanceMisc,{!Icons.ExtraChanceNoTooltip} 死里逃生,,1.139672,24556151
ExtraChanceNoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
ExtraChanceRegen,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
FamiliarPointsIcon,IconData,IconData,UIData.lua,defined,1,,FamiliarPointsIcon,{!Icons.FamiliarPointsIcon_NoTooltip} 女巫之宝,,1.139672,24556151
FamiliarPointsIconAlt,IconData,IconData,UIData.lua,defined,1,,FamiliarPointsIconAlt,{!Icons.FamiliarPointsIcon_NoTooltip} 女巫之宝,,1.139672,24556151
FamiliarPointsIcon_NoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
FatedChoice,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
FavorPoint,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
FireBoonAlt,IconData,IconData,UIData.lua,defined,1,,FireBoonAlt,{!Icons.CurseFire}火,,1.139672,24556151
FireNoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
FrogHarvest,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Fuel,IconData,IconData,UIData.lua,defined,1,,Fuel,萌芽,,1.139672,24556151
Fuel_NoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
GemPointsIcon,IconData,IconData,UIData.lua,defined,1,,GemPointsIcon,{!Icons.GemPoints} 宝石,,1.139672,24556151
GiftPointsEpicIcon,IconData,IconData,UIData.lua,defined,1,,GiftPointsEpicIcon,{!Icons.GiftPointsEpic} 双份鱼饵,,1.139672,24556151
GiftPointsIcon,IconData,IconData,UIData.lua,defined,1,,GiftPointsIcon,{!Icons.GiftPoints} 蜜露,,1.139672,24556151
GiftPointsIconAlt,IconData,IconData,UIData.lua,defined,1,,GiftPointsIconAlt,{!Icons.GiftPoints} 蜜露,,1.139672,24556151
GiftPointsRareIcon,IconData,IconData,UIData.lua,defined,1,,GiftPointsRareIcon,{!Icons.GiftPointsRare} 浴盐,,1.139672,24556151
Hammer,IconData,IconData,UIData.lua,defined,1,,Hammer,{!Icons.Hammer} 狄德勒斯之锤,,1.139672,24556151
HammerPlural,IconData,IconData,UIData.lua,defined,1,,HammerPlural,{!Icons.Hammer} 狄德勒斯之锤,,1.139672,24556151
HealDrop,IconData,IconData,UIData.lua,defined,1,,HealDrop,{!Icons.HealthRestore} 治疗,,1.139672,24556151
HealingItem,IconData,IconData,UIData.lua,defined,1,,HealingItem,{!Icons.HealingItem} 零食,,1.139672,24556151
HealingItemIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Health,IconData,IconData,UIData.lua,defined,1,,Health,{!Icons.Health} 生命值,,1.139672,24556151
HealthAlly,IconData,IconData,UIData.lua,defined,1,,HealthAlly,{!Icons.Health} 生命值,,1.139672,24556151
HealthDown,IconData,IconData,UIData.lua,defined,1,,HealthDown,{!Icons.HealthUp} 生命值上限,,1.139672,24556151
HealthHome,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
HealthLock,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
HealthRestore,IconData,IconData,UIData.lua,defined,1,,HealthRestore,{!Icons.HealthRestore} 治疗,,1.139672,24556151
HealthRestoreAlt,IconData,IconData,UIData.lua,defined,1,,HealthRestoreAlt,{!Icons.HealthRestore} 治疗,,1.139672,24556151
HealthRestoreHome,IconData,IconData,UIData.lua,defined,1,,HealthRestoreHome,{!Icons.Health} 生命值,,1.139672,24556151
HealthUp,IconData,IconData,UIData.lua,defined,1,,HealthUp,{!Icons.HealthUp} 生命值上限,,1.139672,24556151
HealthUpAlt,IconData,IconData,UIData.lua,defined,1,,HealthUpAlt,{!Icons.HealthUpAlt} 生命值上限,,1.139672,24556151
HealthUpTotal,IconData,IconData,UIData.lua,defined,1,,HealthUpTotal,{!Icons.HealthUp} 生命值上限,,1.139672,24556151
Health_NoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
HoundHarvest,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
HypnosPointsIcon,IconData,IconData,UIData.lua,defined,1,,HypnosPointsIcon,{!Icons.HypnosPoints} 梦雾,,1.139672,24556151
IcarusPointsIcon,IconData,IconData,UIData.lua,defined,1,,IcarusPointsIcon,{!Icons.IcarusPoints} 灵质秘药,,1.139672,24556151
IcarusPointsIconAlt,IconData,IconData,UIData.lua,defined,1,,IcarusPointsIconAlt,{!Icons.IcarusPoints} 灵质秘药,,1.139672,24556151
Infinite,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
InventoryCategoryFish,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
InventoryCategoryForgetMeNots,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
InventoryCategoryGifts,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
InventoryCategoryReagents,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
InventoryCategoryResources,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
InventoryIcon,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LastStandGiftItem,IconData,IconData,UIData.lua,defined,1,,LastStandGiftItem,{!Icons.LastStand_NoTooltip} 冥河之吻,,1.139672,24556151
LastStandMoros,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LastStand_NoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LegendaryAwardRank1,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LegendaryAwardRank2,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LegendaryAwardRank3,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LegendaryAwardRank4,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LegendaryAwardRank5,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LimitedTimeOffer,IconData,IconData,UIData.lua,defined,1,,LimitedTimeOffer,{!Icons.LimitedTimeOfferBanner} 数量有限，售完即止！,,1.139672,24556151
LimitedTimeOfferBanner,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LobAmmo,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
LobAmmoInfo,IconData,IconData,UIData.lua,defined,1,,LobAmmoInfo,{!Icons.LobAmmo_NoTooltip} 弹药,,1.139672,24556151
LobAmmo_NoTooltip,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Locked,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
Mana,IconData,IconData,UIData.lua,defined,1,,Mana,{!Icons.Mana} 魔力值,,1.139672,24556151
ManaCrystal,IconData,IconData,UIData.lua,defined,1,,,,,1.139672,24556151
ManaDown,IconData,IconData,UIData.lua,defined,1,,ManaDown,{!Icons.ManaUp} 魔力值上限,,1.139672,24556151
