id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
BaseFamiliar,FamiliarData,FamiliarData,FamiliarData.lua,debug_only,15,,,,UseFamiliar,1.139672,24556151
CatFamiliar,FamiliarData,FamiliarData,FamiliarData.lua,defined,67,BaseFamiliar,CatFamiliar,图拉,,1.139672,24556151
FrogFamiliar,FamiliarData,FamiliarData,FamiliarData.lua,defined,73,BaseFamiliar,FrogFamiliar,弗利诺斯,,1.139672,24556151
HoundFamiliar,FamiliarData,FamiliarData,FamiliarData.lua,defined,66,BaseFamiliar,HoundFamiliar,赫库芭,,1.139672,24556151
PolecatFamiliar,FamiliarData,FamiliarData,FamiliarData.lua,defined,60,BaseFamiliar,PolecatFamiliar,加莉,,1.139672,24556151
RavenFamiliar,FamiliarData,FamiliarData,FamiliarData.lua,defined,59,BaseFamiliar,RavenFamiliar,拉奇,,1.139672,24556151
ErisCurseGiver,NPCVariantData,VariantSetData.NPC_Eris_01,NPCData_Eris.lua,defined,4,,,,,1.139672,24556151
HeraclesBathHouse,NPCVariantData,VariantSetData.NPC_Heracles_01,NPCData_Heracles.lua,defined,5,,,,,1.139672,24556151
HeraclesShopping,NPCVariantData,VariantSetData.NPC_Heracles_01,NPCData_Heracles.lua,defined,3,,,,,1.139672,24556151
IcarusCombat,NPCVariantData,VariantSetData.NPC_Icarus_01,NPCData_Icarus.lua,defined,19,,,,,1.139672,24556151
IcarusHome,NPCVariantData,VariantSetData.NPC_Icarus_01,NPCData_Icarus.lua,defined,7,,,,,1.139672,24556151
NemesisCombat,NPCVariantData,VariantSetData.NPC_Nemesis_01,NPCData_Nemesis.lua,defined,17,,NemesisCombat,涅墨西斯,,1.139672,24556151
NemesisCombat_G,NPCVariantData,VariantSetData.NPC_Nemesis_01,NPCData_Nemesis.lua,defined,3,NemesisCombat,NemesisCombat_G,涅墨西斯,,1.139672,24556151
NemesisFieldsPreRandomEventCombat,NPCVariantData,VariantSetData.NPC_Nemesis_01,NPCData_Nemesis.lua,defined,5,,,,,1.139672,24556151
NemesisPostRandomEventCombat,NPCVariantData,VariantSetData.NPC_Nemesis_01,NPCData_Nemesis.lua,defined,5,,,,,1.139672,24556151
NemesisRandomEvent,NPCVariantData,VariantSetData.NPC_Nemesis_01,NPCData_Nemesis.lua,defined,5,,NemesisRandomEvent,涅墨西斯,,1.139672,24556151
NemesisShopping,NPCVariantData,VariantSetData.NPC_Nemesis_01,NPCData_Nemesis.lua,defined,3,,NemesisShopping,涅墨西斯,,1.139672,24556151
AliceTestEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,14,BaseVulnerableEnemy,,,,1.139672,24556151
AphroditeUpgradeRoomWeapon,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,4,PassiveRoomWeapon,,,,1.139672,24556151
ApolloUpgradeRoomWeapon,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,4,PassiveRoomWeapon,,,,1.139672,24556151
AresUpgradeRoomWeapon,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,4,PassiveRoomWeapon,,,,1.139672,24556151
AutomatonBeamer,UnitSetData,UnitSetData.AutomatonBeamer,EnemyData_AutomatonBeamer.lua,defined,36,BasePEnemy;BaseAutomaton;BaseVulnerableEnemy,AutomatonBeamer,自动监视机,,1.139672,24556151
AutomatonBeamer_Elite,UnitSetData,UnitSetData.AutomatonBeamer,EnemyData_AutomatonBeamer.lua,defined,8,Elite;AutomatonBeamer,AutomatonBeamer_Elite,{!Icons.BountySkull} 自动监视机,,1.139672,24556151
AutomatonBeamer_Shadow,UnitSetData,UnitSetData.AutomatonBeamer,EnemyData_AutomatonBeamer.lua,defined,4,Shadow;AutomatonBeamer,,,,1.139672,24556151
AutomatonEnforcer,UnitSetData,UnitSetData.AutomatonEnforcer,EnemyData_AutomatonEnforcer.lua,defined,31,BasePEnemy;BaseAutomaton;BaseVulnerableEnemy,AutomatonEnforcer,自动执行机,,1.139672,24556151
AutomatonEnforcer_Elite,UnitSetData,UnitSetData.AutomatonEnforcer,EnemyData_AutomatonEnforcer.lua,defined,8,Elite;AutomatonEnforcer,AutomatonEnforcer_Elite,{!Icons.BountySkull} 自动执行机,,1.139672,24556151
AutomatonEnforcer_Fiend,UnitSetData,UnitSetData.AutomatonEnforcer,EnemyData_AutomatonEnforcer.lua,defined,6,AutomatonEnforcer_Elite,,,,1.139672,24556151
AutomatonEnforcer_Shadow,UnitSetData,UnitSetData.AutomatonEnforcer,EnemyData_AutomatonEnforcer.lua,defined,4,Shadow;AutomatonEnforcer,,,,1.139672,24556151
BaseAlly,UnitSetData,UnitSetData.Allies,AllyData.lua,defined,23,,,,,1.139672,24556151
BaseAutomaton,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,13,,,,,1.139672,24556151
BaseBossEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,13,,,,,1.139672,24556151
BaseChronosForces,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,7,,,,,1.139672,24556151
BaseFEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,1,,,,,1.139672,24556151
BaseGEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,1,,,,,1.139672,24556151
BaseHEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,1,,,,,1.139672,24556151
BaseIEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,1,,,,,1.139672,24556151
BaseNEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,1,,,,,1.139672,24556151
BaseOEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,2,,,,,1.139672,24556151
BasePEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,2,,,,,1.139672,24556151
BaseQEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,2,,,,,1.139672,24556151
BaseSpawner,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,8,,,,,1.139672,24556151
BaseTrap,UnitSetData,UnitSetData.Traps,EnemyData_Traps.lua,defined,14,IsNeutral,,,,1.139672,24556151
BaseVulnerableEnemy,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,63,,,,,1.139672,24556151
BattleStandard,UnitSetData,UnitSetData.Traps,EnemyData_Traps.lua,defined,24,BaseTrap,,,,1.139672,24556151
BattleStandardChronos,UnitSetData,UnitSetData.Traps,EnemyData_Traps.lua,defined,4,BattleStandard,,,,1.139672,24556151
BeamTrap,UnitSetData,UnitSetData.Traps,EnemyData_Traps.lua,defined,25,BaseTrap,,,,1.139672,24556151
BlastCubeFused,UnitSetData,UnitSetData.Enemies,EnemyData.lua,defined,18,BaseTrap,,,,1.139672,24556151
BloodMine,UnitSetData,UnitSetData.Traps,EnemyData_Traps.lua,defined,20,BaseTrap,,,,1.139672,24556151
BloodMinePreFused,UnitSetData,UnitSetData.Traps,EnemyData_Traps.lua,defined,3,BloodMine,,,,1.139672,24556151
BloodlessBerserker,UnitSetData,UnitSetData.BloodlessNaked,EnemyData_BloodlessNaked.lua,defined,9,BloodlessNaked,BloodlessBerserker,碎骨者,,1.139672,24556151
BloodlessBerserker_Elite,UnitSetData,UnitSetData.BloodlessNaked,EnemyData_BloodlessNaked.lua,defined,6,Elite;BloodlessBerserker,BloodlessBerserker_Elite,{!Icons.BountySkull} 碎骨者,,1.139672,24556151
BloodlessGrenadier,UnitSetData,UnitSetData.BloodlessGrenadier,EnemyData_BloodlessGrenadier.lua,defined,21,BaseGEnemy;BaseVulnerableEnemy,BloodlessGrenadier,炼狱投弹者,,1.139672,24556151
BloodlessGrenadier_Elite,UnitSetData,UnitSetData.BloodlessGrenadier,EnemyData_BloodlessGrenadier.lua,defined,5,Elite;BloodlessGrenadier,BloodlessGrenadier_Elite,{!Icons.BountySkull} 炼狱投弹者,,1.139672,24556151
BloodlessNaked,UnitSetData,UnitSetData.BloodlessNaked,EnemyData_BloodlessNaked.lua,defined,16,BaseGEnemy;BaseVulnerableEnemy,BloodlessNaked,无血者,,1.139672,24556151
BloodlessNaked_Elite,UnitSetData,UnitSetData.BloodlessNaked,EnemyData_BloodlessNaked.lua,defined,5,Elite;BloodlessNaked,BloodlessNaked_Elite,{!Icons.BountySkull} 无血者,,1.139672,24556151
BloodlessPitcher,UnitSetData,UnitSetData.BloodlessGrenadier,EnemyData_BloodlessGrenadier.lua,defined,7,BloodlessGrenadier,BloodlessPitcher,掷焰者,,1.139672,24556151
BloodlessPitcher_Elite,UnitSetData,UnitSetData.BloodlessGrenadier,EnemyData_BloodlessGrenadier.lua,defined,7,Elite;BloodlessPitcher,BloodlessPitcher_Elite,{!Icons.BountySkull} 掷焰者,,1.139672,24556151
BloodlessSelfDestruct,UnitSetData,UnitSetData.BloodlessGrenadier,EnemyData_BloodlessGrenadier.lua,defined,9,BloodlessGrenadier,BloodlessSelfDestruct,爆舞者,,1.139672,24556151
BloodlessSelfDestruct_Elite,UnitSetData,UnitSetData.BloodlessGrenadier,EnemyData_BloodlessGrenadier.lua,defined,7,Elite;BloodlessSelfDestruct,BloodlessSelfDestruct_Elite,{!Icons.BountySkull} 爆舞者,,1.139672,24556151
BloodlessWaveFist,UnitSetData,UnitSetData.BloodlessNaked,EnemyData_BloodlessNaked.lua,defined,7,BloodlessNaked,BloodlessWaveFist,造浪者,,1.139672,24556151
BloodlessWaveFist_Elite,UnitSetData,UnitSetData.BloodlessNaked,EnemyData_BloodlessNaked.lua,defined,6,Elite;BloodlessWaveFist,BloodlessWaveFist_Elite,{!Icons.BountySkull} 造浪者,,1.139672,24556151
Boar,UnitSetData,UnitSetData.Boar,EnemyData_Boar.lua,defined,27,BaseBossEnemy;BaseNEnemy;BaseVulnerableEnemy,Boar,厄律曼托斯野猪,,1.139672,24556151
Boar_Shadow,UnitSetData,UnitSetData.Boar,EnemyData_Boar.lua,defined,13,Shadow;Boar,,,,1.139672,24556151
Boar_SuperElite,UnitSetData,UnitSetData.Boar,EnemyData_Boar.lua,defined,23,SuperElite;BaseQEnemy;BaseVulnerableEnemy,Boar_SuperElite,厄律曼托斯野猪,,1.139672,24556151
BrambleTrap,UnitSetData,UnitSetData.Traps,EnemyData_Traps.lua,defined,6,BaseTrap,,,,1.139672,24556151
BrambleTrapBush,UnitSetData,UnitSetData.Traps,EnemyData_Traps.lua,stub,1,BrambleTrap,,,,1.139672,24556151
Brawler,UnitSetData,UnitSetData.Brawler,EnemyData_Brawler.lua,defined,21,BaseFEnemy;BaseVulnerableEnemy,Brawler,蹉跎者,,1.139672,24556151
Brawler_Elite,UnitSetData,UnitSetData.Brawler,EnemyData_Brawler.lua,defined,7,Elite;Brawler,Brawler_Elite,{!Icons.BountySkull} 蹉跎者,,1.139672,24556151
BrokenHearted,UnitSetData,UnitSetData.BrokenHearted,EnemyData_BrokenHearted.lua,defined,27,BaseHEnemy;BaseVulnerableEnemy;LowPolyEnemy,BrokenHearted,裂口心,,1.139672,24556151
BrokenHearted_Elite,UnitSetData,UnitSetData.BrokenHearted,EnemyData_BrokenHearted.lua,defined,8,Elite;BrokenHearted,BrokenHearted_Elite,{!Icons.BountySkull} 裂口心,,1.139672,24556151
Brute,UnitSetData,UnitSetData.Brute,EnemyData_Brute.lua,defined,33,BaseQEnemy;BaseVulnerableEnemy;LowPolyEnemy,Brute,震慑魔,,1.139672,24556151
Brute2,UnitSetData,UnitSetData.Brute,EnemyData_Brute.lua,defined,8,Brute_Elite,,,,1.139672,24556151
