id,table,source_namespace,source_file,state,field_count,inherit_from,display_key,display_name_zh_cn,use_function,game_version,steam_build
BaseCollisionWeapon,WeaponData,WeaponData,WeaponData.lua,defined,9,,,,,1.139672,24556151
BaseSpell,WeaponData,WeaponData,WeaponData.lua,defined,9,,,,,1.139672,24556151
BaseUnlockableWeapon,WeaponData,WeaponData,WeaponData.lua,defined,8,,,,,1.139672,24556151
DefaultWeaponValues,WeaponData,WeaponData,WeaponData.lua,defined,4,,,,,1.139672,24556151
FlashbackMelBlink,WeaponData,WeaponData,WeaponData.lua,defined,3,,,,,1.139672,24556151
WeaponAnywhereCast,WeaponData,WeaponData,WeaponData.lua,defined,20,,,,,1.139672,24556151
WeaponAxe,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,31,BaseUnlockableWeapon,WeaponAxe,月石之斧,,1.139672,24556151
WeaponAxe2,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,14,,,,,1.139672,24556151
WeaponAxe3,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,19,,,,,1.139672,24556151
WeaponAxe4,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,2,,,,,1.139672,24556151
WeaponAxe5,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,2,,,,,1.139672,24556151
WeaponAxeBlock2,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,9,,,,,1.139672,24556151
WeaponAxeDash,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,9,,,,,1.139672,24556151
WeaponAxeSpecial,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,11,,,,,1.139672,24556151
WeaponAxeSpecialSwing,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,15,,,,,1.139672,24556151
WeaponAxeSpin,WeaponData,WeaponData<overwrite>,WeaponData_Axe.lua,defined,30,,,,,1.139672,24556151
WeaponBlink,WeaponData,WeaponData,WeaponData.lua,defined,12,,,,,1.139672,24556151
WeaponCast,WeaponData,WeaponData,WeaponData.lua,defined,17,,,,,1.139672,24556151
WeaponCastArm,WeaponData,WeaponData,WeaponData.lua,defined,15,,,,,1.139672,24556151
WeaponCastLob,WeaponData,WeaponData,WeaponData.lua,defined,20,,,,,1.139672,24556151
WeaponCastProjectile,WeaponData,WeaponData,WeaponData.lua,defined,20,,,,,1.139672,24556151
WeaponCastProjectileHades,WeaponData,WeaponData,WeaponData.lua,defined,20,,,,,1.139672,24556151
WeaponCastVacuum,WeaponData,WeaponData,WeaponData.lua,defined,9,,,,,1.139672,24556151
WeaponDagger,WeaponData,WeaponData<overwrite>,WeaponData_Dagger.lua,defined,31,BaseUnlockableWeapon,WeaponDagger,姊妹双刃,,1.139672,24556151
WeaponDagger2,WeaponData,WeaponData<overwrite>,WeaponData_Dagger.lua,defined,2,WeaponDagger,,,,1.139672,24556151
WeaponDagger5,WeaponData,WeaponData<overwrite>,WeaponData_Dagger.lua,defined,12,WeaponDagger,,,,1.139672,24556151
WeaponDaggerDash,WeaponData,WeaponData<overwrite>,WeaponData_Dagger.lua,defined,7,,,,,1.139672,24556151
WeaponDaggerDouble,WeaponData,WeaponData<overwrite>,WeaponData_Dagger.lua,defined,8,WeaponDagger,,,,1.139672,24556151
WeaponDaggerMultiStab,WeaponData,WeaponData<overwrite>,WeaponData_Dagger.lua,defined,6,WeaponDagger,,,,1.139672,24556151
WeaponDaggerThrow,WeaponData,WeaponData<overwrite>,WeaponData_Dagger.lua,defined,25,,,,,1.139672,24556151
WeaponLob,WeaponData,WeaponData<overwrite>,WeaponData_Lob.lua,defined,46,BaseUnlockableWeapon,WeaponLob,银白之颅,,1.139672,24556151
WeaponLobChargedPulse,WeaponData,WeaponData<overwrite>,WeaponData_Lob.lua,defined,2,,,,,1.139672,24556151
WeaponLobGun,WeaponData,WeaponData<overwrite>,WeaponData_Lob.lua,defined,23,,,,,1.139672,24556151
WeaponLobPulse,WeaponData,WeaponData<overwrite>,WeaponData_Lob.lua,defined,2,,,,,1.139672,24556151
WeaponLobSpecial,WeaponData,WeaponData<overwrite>,WeaponData_Lob.lua,defined,28,,,,,1.139672,24556151
WeaponMorphedAttack,WeaponData,WeaponData,WeaponData.lua,defined,3,,WeaponMorphedAttack,羊羊出击,,1.139672,24556151
WeaponMorphedAttack_Pig,WeaponData,WeaponData,WeaponData.lua,defined,2,WeaponMorphedAttack,WeaponMorphedAttack_Pig,猪猪冲撞,,1.139672,24556151
WeaponMorphedAttack_Rat,WeaponData,WeaponData,WeaponData.lua,defined,2,WeaponMorphedAttack,WeaponMorphedAttack_Rat,鼠鼠抓挠,,1.139672,24556151
WeaponMorphedBlink_YoungMel,WeaponData,WeaponData,WeaponData.lua,defined,2,,,,,1.139672,24556151
WeaponSkullImpulse,WeaponData,WeaponData<overwrite>,WeaponData_Lob.lua,defined,1,,,,,1.139672,24556151
WeaponSpellLaser,WeaponData,WeaponData,WeaponData.lua,defined,13,BaseSpell,,,,1.139672,24556151
WeaponSpellLeap,WeaponData,WeaponData,WeaponData.lua,defined,25,BaseSpell,,,,1.139672,24556151
WeaponSpellMeteor,WeaponData,WeaponData,WeaponData.lua,defined,9,BaseSpell,,,,1.139672,24556151
WeaponSpellMoonBeam,WeaponData,WeaponData,WeaponData.lua,defined,15,BaseSpell,,,,1.139672,24556151
WeaponSpellPolymorph,WeaponData,WeaponData,WeaponData.lua,defined,16,BaseSpell,,,,1.139672,24556151
WeaponSpellPotion,WeaponData,WeaponData,WeaponData.lua,defined,15,BaseSpell,,,,1.139672,24556151
WeaponSpellSummon,WeaponData,WeaponData,WeaponData.lua,defined,14,BaseSpell,,,,1.139672,24556151
WeaponSpellTimeSlow,WeaponData,WeaponData,WeaponData.lua,defined,12,BaseSpell,,,,1.139672,24556151
WeaponSpellTransform,WeaponData,WeaponData,WeaponData.lua,defined,9,BaseSpell,,,,1.139672,24556151
WeaponSprint,WeaponData,WeaponData,WeaponData.lua,defined,4,,,,,1.139672,24556151
WeaponSprintEx,WeaponData,WeaponData,WeaponData.lua,defined,1,,,,,1.139672,24556151
WeaponStaffBall,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,defined,15,WeaponStaffBolt,,,,1.139672,24556151
WeaponStaffBall2,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,stub,0,,,,,1.139672,24556151
WeaponStaffBolt,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,defined,8,,,,,1.139672,24556151
WeaponStaffBoltCharged,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,defined,9,,,,,1.139672,24556151
WeaponStaffDash,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,defined,8,,,,,1.139672,24556151
WeaponStaffSwing,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,defined,33,BaseUnlockableWeapon,WeaponStaffSwing,女巫之杖,,1.139672,24556151
WeaponStaffSwing2,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,defined,11,WeaponStaffSwing,,,,1.139672,24556151
WeaponStaffSwing3,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,defined,12,WeaponStaffSwing,,,,1.139672,24556151
WeaponStaffSwing5,WeaponData,WeaponData<overwrite>,WeaponData_Staff.lua,defined,17,WeaponStaffSwing,,,,1.139672,24556151
WeaponSuit,WeaponData,WeaponData<overwrite>,WeaponData_Suit.lua,defined,38,BaseUnlockableWeapon,WeaponSuit,漆黑战衣,,1.139672,24556151
WeaponSuit2,WeaponData,WeaponData<overwrite>,WeaponData_Suit.lua,defined,2,WeaponSuit,,,,1.139672,24556151
WeaponSuitCharged,WeaponData,WeaponData<overwrite>,WeaponData_Suit.lua,defined,34,WeaponSuit,,,,1.139672,24556151
WeaponSuitDash,WeaponData,WeaponData<overwrite>,WeaponData_Suit.lua,stub,1,WeaponSuit,,,,1.139672,24556151
WeaponSuitDouble,WeaponData,WeaponData<overwrite>,WeaponData_Suit.lua,defined,2,WeaponSuit,,,,1.139672,24556151
WeaponSuitRanged,WeaponData,WeaponData<overwrite>,WeaponData_Suit.lua,defined,48,,,,,1.139672,24556151
WeaponTest,WeaponData,WeaponData<overwrite>,WeaponData_Lob.lua,defined,16,BaseUnlockableWeapon,,,,1.139672,24556151
WeaponTorch,WeaponData,WeaponData<overwrite>,WeaponData_Torch.lua,defined,38,BaseUnlockableWeapon,WeaponTorch,暗影之炬,,1.139672,24556151
WeaponTorchSpecial,WeaponData,WeaponData<overwrite>,WeaponData_Torch.lua,defined,14,BaseUnlockableWeapon,,,,1.139672,24556151
WeaponTransformAttack,WeaponData,WeaponData,WeaponData.lua,defined,1,,,,,1.139672,24556151
WeaponTransformSpecial,WeaponData,WeaponData,WeaponData.lua,defined,1,,,,,1.139672,24556151
AutomatonBeamForward,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,3,,,,,1.139672,24556151
AutomatonBeamForward_Elite,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,2,AutomatonBeamForward,,,,1.139672,24556151
AutomatonBeamerDefense,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,5,,,,,1.139672,24556151
AutomatonBeamerScan,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,2,,,,,1.139672,24556151
AutomatonEnforcerBoost,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,2,,,,,1.139672,24556151
AutomatonEnforcerSlash,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,4,,,,,1.139672,24556151
AutomatonEnforcerSlash_AmbientBattle,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,4,AutomatonEnforcerSlash,,,,1.139672,24556151
AutomatonEnforcerSlash_Elite,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,2,AutomatonEnforcerSlash,,,,1.139672,24556151
AutomatonEnforcerWhirlwind,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,4,,,,,1.139672,24556151
AutomatonEnforcerWhirlwind_Elite,WeaponSetData,WeaponSetData,WeaponData_Automaton.lua,defined,2,AutomatonEnforcerWhirlwind,,,,1.139672,24556151
BattleStandardAoE,WeaponSetData,WeaponSetData,WeaponData_Traps.lua,defined,2,,,,,1.139672,24556151
BeamTrap,WeaponSetData,WeaponSetData,WeaponData_Traps.lua,defined,2,,,,,1.139672,24556151
BlastCubeExplosion,WeaponSetData,WeaponSetData,WeaponData_Traps.lua,defined,1,,,,,1.139672,24556151
BloodMineToss,WeaponSetData,WeaponSetData,WeaponData_Traps.lua,defined,2,,,,,1.139672,24556151
BloodlessGrenadierCluster,WeaponSetData,WeaponSetData,WeaponData_Bloodless.lua,defined,2,,,,,1.139672,24556151
BloodlessGrenadierDeathDrop,WeaponSetData,WeaponSetData,WeaponData_Bloodless.lua,defined,1,,,,,1.139672,24556151
BloodlessGrenadierDive,WeaponSetData,WeaponSetData,WeaponData_Bloodless.lua,defined,2,,,,,1.139672,24556151
BloodlessGrenadierRanged,WeaponSetData,WeaponSetData,WeaponData_Bloodless.lua,defined,2,,,,,1.139672,24556151
BloodlessGrenadierRangedElite,WeaponSetData,WeaponSetData,WeaponData_Bloodless.lua,defined,2,BloodlessGrenadierRanged,,,,1.139672,24556151
BloodlessMelee,WeaponSetData,WeaponSetData,WeaponData_Bloodless.lua,defined,2,,,,,1.139672,24556151
