id,kind,official_name_zh_cn,game_version,steam_build
ArmorBoostStore,consumable,碎裂之盾,1.139672,24556151
DamageSelfDrop,consumable,迈达斯的代价,1.139672,24556151
EmptyMaxHealthShopItem,consumable,半人马之魂,1.139672,24556151
ExtendedShopTrait,trait,古老的封印,1.139672,24556151
FirstHitHealTrait,trait,厄洛斯之息,1.139672,24556151
HealDropRange,consumable,生命的精华,1.139672,24556151
LastStandShopItem,consumable,冥河之吻,1.139672,24556151
LimitedManaRegenDrop,consumable,薄雾面纱,1.139672,24556151
LimitedSwapTraitDrop,consumable,牺牲圣诗,1.139672,24556151
MemPointsCommonRange,consumable,摇曳的微光,1.139672,24556151
MetaCardPointsCommonRange,consumable,积灰的袋子,1.139672,24556151
MetaCurrencyRange,consumable,出土的遗骸,1.139672,24556151
RandomStoreItem,consumable,命运的作弄,1.139672,24556151
SeedMysteryRange,consumable,盖亚的礼赠,1.139672,24556151
TemporaryBoonRarityTrait,trait,阿里阿德涅的纱线,1.139672,24556151
TemporaryDiscountTrait,trait,渡船优惠券,1.139672,24556151
TemporaryDoorHealTrait,trait,九头蛇轻饮,1.139672,24556151
TemporaryEmptySlotDamageTrait,trait,达那伊德斯的匕首,1.139672,24556151
TemporaryForcedSecretDoorTrait,trait,伊克西翁之耀,1.139672,24556151
TemporaryHealExpirationTrait,trait,善意之瓶,1.139672,24556151
TemporaryImprovedCastTrait,trait,阿特拉斯的穗带,1.139672,24556151
TemporaryImprovedDefenseTrait,trait,蟒蛇的鳞片,1.139672,24556151
TemporaryImprovedExTrait,trait,女巫的印记,1.139672,24556151
TemporaryImprovedSecondaryTrait,trait,奇美拉肉干,1.139672,24556151
TemporaryMoveSpeedTrait,trait,燃烧的灵液,1.139672,24556151
